frame,source_frame,target_rule,source,target,target_n,target_pos,target_retained,target_pos_retained,thermal,baseline,delta
a1_trim_src10km,10km,trim,bejis_2022,mugla_2021,17074,886,0.40915408578959983,0.3043627619374785,0.5192772312461758,0.5435263057494306,-0.024249074503254864
a1_trim_src10km,10km,trim,bejis_2022,evia_2021_extended,1211,412,0.1302430630243063,0.15465465465465467,0.4459123661858877,0.5204260179593424,-0.0745136517734547
a1_trim_src10km,10km,trim,bejis_2022,montiferru_2021,675,98,0.2653301886792453,0.18181818181818182,0.5902804796095215,0.6134297739893184,-0.02314929437979696
a1_trim_src10km,10km,trim,mugla_2021,manavgat_2021,11430,592,0.5572619569986836,0.7551020408163265,0.4549412914021237,0.5779215273586928,-0.12298023595656915
a1_trim_src10km,10km,trim,mugla_2021,bejis_2022,6880,531,0.4529295589203423,0.4827272727272727,0.5521405716872239,0.5408672392022233,0.011273332485000509
a1_trim_src10km,10km,trim,mugla_2021,evia_2021_extended,6964,2091,0.7489782748978275,0.7849099099099099,0.6636263630897195,0.5899656144109152,0.07366074867880423
a1_trim_src10km,10km,trim,mugla_2021,montiferru_2021,1368,222,0.5377358490566038,0.41187384044526903,0.5968232630536295,0.6076010565539361,-0.01077779350030661
a1_trim_src10km,10km,trim,evia_2021_extended,manavgat_2021,5807,480,0.2831163765784213,0.6122448979591837,0.6855774044177461,0.6845103169388649,0.001067087478881179
a1_trim_src10km,10km,trim,evia_2021_extended,bejis_2022,4423,239,0.2911784068466096,0.21727272727272728,0.2999011976287431,0.3356525556613359,-0.03575135803259277
a1_trim_src10km,10km,trim,evia_2021_extended,mugla_2021,25715,1367,0.6162233405224059,0.46959807626245276,0.6065621999658932,0.5718572409402845,0.03470495902560877
a1_trim_src10km,10km,trim,evia_2021_extended,montiferru_2021,1853,355,0.7283805031446541,0.6586270871985158,0.7522142198988322,0.6246027567272796,0.12761146317155259
a1_trim_src10km,10km,trim,montiferru_2021,manavgat_2021,5320,404,0.2593730193554678,0.5153061224489796,0.6980615931812872,0.6468885192017981,0.051173073979489114
a1_trim_src10km,10km,trim,montiferru_2021,bejis_2022,2536,184,0.16695194206714944,0.16727272727272727,0.4063077676722863,0.5193452380952381,-0.11303747042295181
a1_trim_src10km,10km,trim,montiferru_2021,mugla_2021,18670,1109,0.44739995207284927,0.3809687392648574,0.5487165720786013,0.5189237319827438,0.029792840095857476
a1_trim_src10km,10km,trim,montiferru_2021,evia_2021_extended,3897,1051,0.4191223919122392,0.3945195195195195,0.6747002653832345,0.6277709279319699,0.0469293374512646
a2_aoa_srcfull,full,aoa,manavgat_2021,bejis_2022,2824,258,0.1859117840684661,0.23454545454545456,0.3031737328330524,0.3127337514425372,-0.0095600186094848
a2_aoa_srcfull,full,aoa,manavgat_2021,mugla_2021,37740,2599,0.9043853342918764,0.8928203366540708,0.46845735815958,0.5064755288755434,-0.03801817071596336
a2_aoa_srcfull,full,aoa,manavgat_2021,evia_2021_extended,7021,1968,0.7551086255108626,0.7387387387387387,0.6274284253578731,0.58984806779841,0.037580357559463096
a2_aoa_srcfull,full,aoa,manavgat_2021,montiferru_2021,1555,330,0.6112421383647799,0.6122448979591837,0.6070723562152134,0.6476165739022882,-0.040544217687074835
a2_aoa_srcfull,full,aoa,bejis_2022,manavgat_2021,2568,204,0.12520111159865438,0.2602040816326531,0.3509536428784712,0.34452241133339967,0.006431231545071525
a2_aoa_srcfull,full,aoa,bejis_2022,mugla_2021,4129,85,0.09894560268392044,0.029199587770525594,0.5561019956944202,0.5772720660964682,-0.02117007040204799
a2_aoa_srcfull,full,aoa,bejis_2022,evia_2021_extended,959,138,0.10314046031404603,0.0518018018018018,0.4459302017687868,0.6672271355187205,-0.2212969337499337
a2_aoa_srcfull,full,aoa,bejis_2022,montiferru_2021,77,8,0.030267295597484277,0.014842300556586271,0.5760869565217392,0.6503623188405796,-0.07427536231884035
a2_aoa_srcfull,full,aoa,mugla_2021,manavgat_2021,10667,600,0.5200624055384916,0.7653061224489796,0.49615691533392936,0.5828820237740472,-0.08672510844011783
