region,k,band,positives,negatives,auc,ci_lo,ci_hi,boot_used
evia_2021_extended,0,0-0.5,2664,99,0.7438176813176813,0.6716263425711438,0.8211405196214805,1000.0
evia_2021_extended,0,0.5-1,2664,181,0.771021021021021,0.6885486273373828,0.8534455551449865,1000.0
evia_2021_extended,0,1-2,2664,292,0.7819114062692829,0.6685700869272636,0.8974378420334875,1000.0
evia_2021_extended,0,2-5,2664,716,0.8899534136091399,0.8280780729308643,0.934597697612167,1000.0
evia_2021_extended,0,5-10,2664,1383,0.8884215017620658,0.8255004346273052,0.9365186328564769,1000.0
evia_2021_extended,0,10-inf,2664,3963,0.8644014472458832,0.8196897697691354,0.9032597800451186,1000.0
evia_2021_extended,1,all,2413,6437,0.8843753293501535,0.8491067989790937,0.9164848469314087,1000.0
evia_2021_extended,1,0-0.5,2413,0,,,,
evia_2021_extended,1,0.5-1,2413,85,0.7918237000560688,0.6940765233220834,0.8910768261479145,1000.0
evia_2021_extended,1,1-2,2413,290,0.7994269545707875,0.6837723003162669,0.9132276652126079,1000.0
evia_2021_extended,1,2-5,2413,716,0.905076552287771,0.8516557701237294,0.947733708011754,1000.0
evia_2021_extended,1,5-10,2413,1383,0.9034055410273167,0.849293474653672,0.94945509736515,1000.0
evia_2021_extended,1,10-inf,2413,3963,0.8821954299817865,0.8445738959919553,0.9177366796713821,1000.0
evia_2021_extended,2,all,2103,6278,0.8961542068044906,0.8618416786724553,0.9244850296925073,1000.0
evia_2021_extended,2,0-0.5,2103,0,,,,
evia_2021_extended,2,0.5-1,2103,0,,,,
evia_2021_extended,2,1-2,2103,216,0.8060200595269544,0.6901772311287706,0.9184551329758169,1000.0
evia_2021_extended,2,2-5,2103,716,0.9132962487746953,0.862810897522711,0.953119690701797,1000.0
evia_2021_extended,2,5-10,2103,1383,0.9118062582496719,0.8628210176384672,0.9512875749385097,1000.0
evia_2021_extended,2,10-inf,2103,3963,0.8925075973199071,0.8553245559960734,0.9251447824017306,1000.0
montiferru_2021,0,all,539,2005,0.7199006195087421,0.6365245884660378,0.7954456926332433,1000.0
montiferru_2021,0,0-0.5,539,63,0.5617103984450924,0.47850212246028195,0.6310593240077527,1000.0
montiferru_2021,0,0.5-1,539,182,0.6039266855593386,0.5203041094815066,0.6805311086564446,1000.0
montiferru_2021,0,1-2,539,301,0.641263814495898,0.5284729871461721,0.7463641182978996,1000.0
montiferru_2021,0,2-5,539,671,0.7480099206733228,0.6172691154005832,0.8557367253319142,1000.0
montiferru_2021,0,5-10,539,742,0.7643359720756717,0.6703633868123078,0.852036905715007,1000.0
montiferru_2021,0,10-inf,539,46,0.7831733483907397,0.38784107131515194,0.9114768418809172,996.0
montiferru_2021,1,all,373,1820,0.7564534661049406,0.6622484538350737,0.8389612778389088,1000.0
montiferru_2021,1,0-0.5,373,0,,,,
montiferru_2021,1,0.5-1,373,62,0.6596039090201505,0.5140385691517336,0.7889310414458073,1000.0
montiferru_2021,1,1-2,373,299,0.6672195970482484,0.5412629050632668,0.7736938172590759,1000.0
montiferru_2021,1,2-5,373,671,0.7694369973190349,0.6303960051443288,0.886304232559468,1000.0
montiferru_2021,1,5-10,373,742,0.785551693488362,0.682376363946393,0.8707747027653008,1000.0
montiferru_2021,1,10-inf,373,46,0.808252710106073,0.5128603671006036,0.9240518982458317,995.0
montiferru_2021,2,all,234,1647,0.7891478419711572,0.683941675476019,0.8823761156524801,1000.0
montiferru_2021,2,0-0.5,234,0,,,,
montiferru_2021,2,0.5-1,234,0,,,,
montiferru_2021,2,1-2,234,188,0.7066284779050738,0.5551616645554162,0.829961153975317,1000.0
montiferru_2021,2,2-5,234,671,0.7901906836333065,0.6471011089244326,0.9069518863034677,1000.0
montiferru_2021,2,5-10,234,742,0.8063503582371507,0.6936118508883908,0.9005528974350515,1000.0
montiferru_2021,2,10-inf,234,46,0.8337049424005946,0.5032618130307959,0.9434382057895465,999.0
