scenario,T,S,contrast,method,hw95,sd_estimate,coverage95,power_0.02,power_0.05,power_0.10,p_equiv_M0.02_true0.00,p_equiv_M0.02_true0.02,p_equiv_M0.05_true0.00,p_equiv_M0.05_true0.02,mde80
central,15,3,V1_minus_V3,tile_cluster_bootstrap,0.0408,0.0165,0.9810,0.1245,0.6850,0.9995,0.0000,0.0000,0.6445,0.3830,0.0565
central,15,3,V1_minus_V3,target_only_bootstrap,0.0272,0.0165,0.8755,0.3430,0.9025,1.0000,0.0250,0.0135,0.8830,0.6595,0.0430
central,15,3,V2_minus_V3,crossed_RE_model,0.0653,0.0304,,0.0940,0.3340,0.8628,0.0000,0.0000,0.0000,0.0000,0.0917
central,15,3,V2_minus_V3,tile_cluster_bootstrap,0.0604,0.0298,0.9440,0.1025,0.3730,0.8895,0.0000,0.0000,0.0765,0.0640,0.0880
central,15,3,V2_minus_V3,target_only_bootstrap,0.0544,0.0298,0.9095,0.1510,0.4495,0.9220,0.0000,0.0000,0.1700,0.1310,0.0820
central,15,3,group_contribution_V3,crossed_RE_model,0.0096,0.0045,,0.9857,1.0000,1.0000,0.9831,0.0500,1.0000,0.9999,0.0135
central,15,3,group_contribution_V3,tile_cluster_bootstrap,0.0144,0.0043,0.9990,0.8785,1.0000,1.0000,0.9210,0.0030,1.0000,1.0000,0.0185
central,15,3,group_contribution_V3,target_only_bootstrap,0.0080,0.0043,0.9250,0.9965,1.0000,1.0000,0.9970,0.0655,1.0000,1.0000,0.0120
central,15,3,V1_minus_V2,tile_RE_model,0.0574,0.0268,,0.1072,0.4125,0.9341,0.0000,0.0000,0.0824,0.0616,0.0807
central,15,3,V1_minus_V2,tile_cluster_bootstrap,0.0494,0.0267,0.9150,0.1600,0.5175,0.9620,0.0000,0.0000,0.2580,0.1980,0.0725
central,15,3,group_contribution_V1,tile_RE_model,0.0216,0.0101,,0.4547,0.9958,1.0000,0.1716,0.0276,0.9935,0.8771,0.0304
central,15,3,group_contribution_V1,tile_cluster_bootstrap,0.0186,0.0104,0.9155,0.5565,0.9965,1.0000,0.3200,0.0685,0.9980,0.9170,0.0280
central,15,4,mean_V3,crossed_RE_model,0.0249,0.0116,,0.3608,0.9789,1.0000,0.0000,0.0000,0.9765,0.7866,0.0350
central,15,4,mean_V3,tile_cluster_bootstrap,0.0360,0.0117,0.9965,0.1035,0.8610,1.0000,0.0005,0.0000,0.9000,0.5215,0.0470
central,15,4,mean_V3,target_only_bootstrap,0.0163,0.0117,0.8250,0.6090,0.9965,1.0000,0.3825,0.1080,0.9975,0.9110,0.0270
central,15,4,V1_minus_V3,crossed_RE_model,0.0348,0.0162,,0.2099,0.8176,0.9999,0.0000,0.0000,0.7926,0.5232,0.0489
central,15,4,V1_minus_V3,tile_cluster_bootstrap,0.0406,0.0162,0.9850,0.1065,0.7050,0.9995,0.0000,0.0000,0.6460,0.3840,0.0555
central,15,4,V1_minus_V3,target_only_bootstrap,0.0267,0.0162,0.8895,0.3665,0.9170,1.0000,0.0320,0.0210,0.9000,0.6695,0.0415
central,15,4,V2_minus_V3,crossed_RE_model,0.0634,0.0295,,0.0968,0.3511,0.8821,0.0000,0.0000,0.0000,0.0000,0.0890
central,15,4,V2_minus_V3,tile_cluster_bootstrap,0.0588,0.0290,0.9350,0.1150,0.3830,0.9180,0.0000,0.0000,0.0945,0.0775,0.0845
central,15,4,V2_minus_V3,target_only_bootstrap,0.0527,0.0290,0.9045,0.1595,0.4695,0.9430,0.0000,0.0000,0.1735,0.1465,0.0775
central,15,4,group_contribution_V3,crossed_RE_model,0.0095,0.0044,,0.9869,1.0000,1.0000,0.9843,0.0500,1.0000,0.9999,0.0134
central,15,4,group_contribution_V3,tile_cluster_bootstrap,0.0144,0.0044,0.9985,0.8835,1.0000,1.0000,0.9105,0.0060,1.0000,1.0000,0.0185
central,15,4,group_contribution_V3,target_only_bootstrap,0.0079,0.0044,0.9070,0.9960,1.0000,1.0000,0.9970,0.0835,1.0000,1.0000,0.0120
