source_frame,target_frame,direction,thermal,baseline,delta
10km,full,evia_2021_extended_to_manavgat_2021,0.6339786814507828,0.6975299897167768,-0.06355130826599398
10km,full,evia_2021_extended_to_bejis_2022,0.43807890831666557,0.3775742951158139,0.060504613200851654
10km,full,evia_2021_extended_to_mugla_2021,0.6338888374198397,0.5230126943913941,0.11087614302844562
10km,full,evia_2021_extended_to_montiferru_2021,0.7148131526471391,0.5929022527170016,0.12191089993013748
10km,full,montiferru_2021_to_manavgat_2021,0.565665466267614,0.5027227846326852,0.06294268163492889
10km,full,montiferru_2021_to_bejis_2022,0.5718514097683721,0.6182700174204788,-0.0464186076521067
10km,full,montiferru_2021_to_mugla_2021,0.6217833819367035,0.6457123158648305,-0.023928933928127005
10km,full,montiferru_2021_to_evia_2021_extended,0.5768571178957069,0.5517627308496317,0.02509438704607525
10km,10km,manavgat_2021_to_bejis_2022,0.3799388014784593,0.42253125568055583,-0.04259245420209651
10km,10km,manavgat_2021_to_mugla_2021,0.5597217440151202,0.5728276430072179,-0.013105898992097686
10km,10km,manavgat_2021_to_evia_2021_extended,0.72692318486711,0.6789854252617104,0.0479377596053997
10km,10km,manavgat_2021_to_montiferru_2021,0.609681158703638,0.603571357250789,0.006109801452849006
10km,10km,bejis_2022_to_manavgat_2021,0.603317531628659,0.5364595527777855,0.06685797885087352
10km,10km,bejis_2022_to_mugla_2021,0.631353207604753,0.6270119685282423,0.004341239076510739
10km,10km,bejis_2022_to_evia_2021_extended,0.6020573727933541,0.6445991844648388,-0.04254181167148463
10km,10km,bejis_2022_to_montiferru_2021,0.6694017339473882,0.6040268584019042,0.06537487554548405
10km,10km,mugla_2021_to_manavgat_2021,0.5161989279447776,0.6114793163857526,-0.09528038844097497
10km,10km,mugla_2021_to_bejis_2022,0.6005303871866858,0.5330886065722767,0.06744178061440909
10km,10km,mugla_2021_to_evia_2021_extended,0.7278867652699428,0.6718498580356056,0.056036907234337185
10km,10km,mugla_2021_to_montiferru_2021,0.5491945997913633,0.5912728261706808,-0.04207822637931746
10km,10km,evia_2021_extended_to_manavgat_2021,0.6839738831151302,0.6589237682520707,0.025050114863059525
10km,10km,evia_2021_extended_to_bejis_2022,0.5207648805315991,0.4519953141726081,0.06876956635899101
10km,10km,evia_2021_extended_to_mugla_2021,0.6369476913190233,0.5287180148460232,0.10822967647300008
10km,10km,evia_2021_extended_to_montiferru_2021,0.7099218420884966,0.5923240923973149,0.11759774969118175
10km,10km,montiferru_2021_to_manavgat_2021,0.6556093182312741,0.5908582811583265,0.0647510370729476
10km,10km,montiferru_2021_to_bejis_2022,0.6240372846438166,0.6610190664700774,-0.03698178182626077
10km,10km,montiferru_2021_to_mugla_2021,0.603046166950845,0.626890864297381,-0.023844697346535937
10km,10km,montiferru_2021_to_evia_2021_extended,0.7000579726923184,0.6554974951587101,0.044560477533608256
5km,5km,manavgat_2021_to_bejis_2022,0.4779239440708307,0.49172069282500364,-0.013796748754172916
5km,5km,manavgat_2021_to_mugla_2021,0.5485946512295877,0.567180722220633,-0.018586070991045256
5km,5km,manavgat_2021_to_evia_2021_extended,0.7116066796723731,0.6805515978265371,0.031055081845836052
5km,5km,manavgat_2021_to_montiferru_2021,0.6154140289106724,0.6153643200516361,4.9708859036323716e-05
