frame,source,target,model,n,positives,prevalence,auc,ap,ap_lift,pauc01,cap10,cap10_norm,cap20,cap20_norm
ref_10km_10km,manavgat_2021,montiferru_2021,baseline,2490,539,0.21646586345381527,0.5543187500059433,0.2341558079889878,1.0817216361643407,0.4936855208241002,0.09833024118738404,-0.004613018964633556,0.22820037105751392,0.038954382368016405
ref_10km_10km,bejis_2022,manavgat_2021,thermal,8507,2935,0.3450099917714823,0.45184064029077,0.31074474258682017,0.9006833135216624,0.4889506903553646,0.07086882453151619,-0.15344580043072503,0.17512776831345825,-0.0655061019382628
ref_10km_10km,bejis_2022,manavgat_2021,baseline,8507,2935,0.3450099917714823,0.3883979706270462,0.27526628561909505,0.7978501845865901,0.486300931203648,0.05417376490630324,-0.24138549892318734,0.10391822827938671,-0.25305096913137115
ref_10km_10km,bejis_2022,mugla_2021,thermal,18674,2911,0.15588518796187212,0.631353207604753,0.21064861323102468,1.3513061502838046,0.5216332756855111,0.16248711782892478,0.11539681532703165,0.2796289934730333,0.09953624184129164
ref_10km_10km,bejis_2022,mugla_2021,baseline,18674,2911,0.15588518796187212,0.627012044804076,0.2019441671074251,1.2954673227633309,0.5105750576530316,0.12779113706630024,0.051322717756772177,0.24836825833047063,0.060460322913088275
ref_10km_10km,bejis_2022,evia_2021_extended,thermal,5232,2664,0.5091743119266054,0.6020573727933541,0.5795217086187499,1.1381597520620494,0.519951118112702,0.12087087087087087,0.21651090342679113,0.2225975975975976,0.11721183800623042
ref_10km_10km,bejis_2022,evia_2021_extended,baseline,5232,2664,0.5091743119266054,0.644599038290627,0.5886381751229076,1.1560641637548998,0.5003084583599832,0.10923423423423423,0.09579439252336436,0.2376126126126126,0.19509345794392507
ref_10km_10km,bejis_2022,montiferru_2021,thermal,2490,539,0.21646586345381527,0.6694017339473882,0.352581682628853,1.6288096284709535,0.5299068962854259,0.150278293135436,0.13890312660174273,0.30241187384044527,0.14146591491542798
ref_10km_10km,bejis_2022,montiferru_2021,baseline,2490,539,0.21646586345381527,0.6040235301053929,0.3089411337605012,1.4272048665373802,0.5344779236594885,0.16883116883116883,0.1901588928754485,0.2727272727272727,0.10046130189646332
ref_10km_10km,mugla_2021,manavgat_2021,thermal,8507,2935,0.3450099917714823,0.4332060032457249,0.29057570616819545,0.8422240314728582,0.4829002771539809,0.049403747870528106,-0.2665111270638909,0.12265758091993186,-0.2036970567121321
ref_10km_10km,mugla_2021,manavgat_2021,baseline,8507,2935,0.3450099917714823,0.5044721661361076,0.33900958555303584,0.9826080219078964,0.49597419022460487,0.09097103918228279,-0.04755922469490313,0.18603066439522997,-0.036791098348887344
ref_10km_10km,mugla_2021,bejis_2022,thermal,5601,1100,0.19639350116050705,0.6005303871866858,0.2550328768039423,1.2985810390717099,0.5208195095401447,0.14454545454545453,0.10886469673405905,0.2790909090909091,0.09886363636363638
ref_10km_10km,mugla_2021,bejis_2022,baseline,5601,1100,0.19639350116050705,0.5330886065722767,0.19698139988100816,1.0029934733941153,0.49221321365055504,0.07181818181818182,-0.0688735836480782,0.1572727272727273,-0.053409090909090906
ref_10km_10km,mugla_2021,evia_2021_extended,thermal,5232,2664,0.5091743119266054,0.7278867652699428,0.7027582716915928,1.380191920979885,0.5551732561385783,0.15165165165165165,0.5358255451713394,0.2807807807807808,0.4190031152647974
ref_10km_10km,mugla_2021,evia_2021_extended,baseline,5232,2664,0.5091743119266054,0.6718498580356056,0.6392344146134661,1.2554333548264471,0.5268440784611468,0.13025525525525525,0.3138629283489095,0.2605105105105105,0.3138629283489095
ref_10km_10km,mugla_2021,montiferru_2021,thermal,2490,539,0.21646586345381527,0.5491945997913633,0.22276344047736515,1.0290927027618537,0.4843647891053694,0.07606679035250463,-0.06611993849308051,0.1614100185528757,-0.05330599692465403
ref_10km_10km,mugla_2021,montiferru_2021,baseline,2490,539,0.21646586345381527,0.5912728261706808,0.2730720395061805,1.2615016296296648,0.5194910799401267,0.15213358070500926,0.14402870322911324,0.2820037105751391,0.11327524346488976
ref_10km_10km,evia_2021_extended,manavgat_2021,thermal,8507,2935,0.3450099917714823,0.5937672054602534,0.4877677716883345,1.4137786827095953,0.5647570253825775,0.19216354344122658,0.4854630294328786,0.32265758091993185,0.3230437903804737
ref_10km_10km,evia_2021_extended,manavgat_2021,baseline,8507,2935,0.3450099917714823,0.6576786035311627,0.5018829144521693,1.454690955108894,0.552393585300431,0.17683134582623508,0.4047020818377601,0.3270868824531516,0.33470926058865746
ref_10km_10km,evia_2021_extended,bejis_2022,thermal,5601,1100,0.19639350116050705,0.5207648805315991,0.1883428349432974,0.9590074713794625,0.48358270198329134,0.06181818181818182,-0.09331259720062209,0.1618181818181818,-0.04772727272727276
ref_10km_10km,evia_2021_extended,bejis_2022,baseline,5601,1100,0.19639350116050705,0.4519953141726081,0.16925792927436362,0.8618306016961006,0.4891834775685148,0.06363636363636363,-0.08886914019106867,0.13090909090909092,-0.08636363636363636
ref_10km_10km,evia_2021_extended,mugla_2021,thermal,18674,2911,0.15588518796187212,0.6369476913190233,0.252645945195923,1.6207180970761477,0.5414588445073509,0.18172449330127105,0.15092304764321512,0.30814153211954654,0.13517691514943314
ref_10km_10km,evia_2021_extended,mugla_2021,baseline,18674,2911,0.15588518796187212,0.5287180148460232,0.18474538444674957,1.1851375160283757,0.5204416751119595,0.1432497423565785,0.07987058301084818,0.24939883201648919,0.06174854002061147
