region,scar,orientation,row,col,pool_n,collar_only_n,median_dist_km,placebo_auc,placebo_collar_only_auc
mugla_2021,8,6,98,247,991,455,14.123119343827694,0.9112873525967283,0.905879521937916
mugla_2021,8,3,41,316,1003,455,12.870314681467582,0.8812176608859552,0.8779979144942649
mugla_2021,8,1,34,313,1003,455,9.233228037907438,0.8761798545967936,0.8882088714205502
mugla_2021,8,0,63,262,902,399,17.105920027873392,0.8781802806415591,0.8612269725408411
mugla_2021,8,1,54,298,985,450,16.722813758455843,0.8698025121345735,0.8365206812652068
mugla_2021,8,4,108,249,938,402,10.276367341189136,0.8972275613590027,0.8851885644768857
mugla_2021,8,2,42,139,904,415,10.35,0.9021734303339578,0.8863534429689561
mugla_2021,8,4,33,156,972,429,14.901048233516722,0.899156303505452,0.9021446922906777
mugla_2021,8,4,14,166,986,447,23.165167817220752,0.9197654017559704,0.9271460997077026
mugla_2021,8,1,3,158,957,433,22.068359703430612,0.9272723459106544,0.9387463967229143
mugla_2021,8,6,72,265,860,399,19.8,0.8692359107112544,0.8600813164297605
mugla_2021,8,2,40,287,980,439,9.567131231461186,0.813201996126918,0.8586535423906357
mugla_2021,8,4,65,280,930,416,18.79793871678488,0.8964936033278392,0.9166154898933185
mugla_2021,8,7,62,84,797,314,8.655922827752105,0.8403776937237266,0.8963747733506904
mugla_2021,8,3,48,223,976,438,19.833206677535333,0.9232978341510111,0.901357780888578
mugla_2021,8,3,93,281,905,412,21.944133612425897,0.8997419042626125,0.8928274041527886
mugla_2021,8,6,7,305,990,442,7.043614129124338,0.9034966452849666,0.897236351025531
mugla_2021,8,6,105,282,985,437,21.674870241826135,0.8919059616880951,0.8764970184903706
mugla_2021,8,0,68,211,837,351,20.349754298271026,0.8846179002171466,0.8852496516730093
mugla_2021,8,6,118,348,928,418,9.455354109366445,0.9366229864082558,0.9315846226382146
