frame,region,feature,auc,lo_1000,hi_1000,lo,hi,sd,p_norm_vs_half,p_pct_vs_half,n_reps
collar10,mugla_2021,current_lst_mean,0.331812261454304,0.2748596299851671,0.3919526146518676,0.2736889172052371,0.39337234146022837,0.030421618804967968,3.228703841434519e-08,5e-05,20000
collar10,mugla_2021,current_tvdi_mean,0.3419889972823709,0.27497206049884454,0.4118937169896129,0.2760627512406476,0.4112724267536775,0.0345727643731332,4.868183288880955e-06,5e-05,20000
collar10,mugla_2021,tvdi_difference_mean,0.509446583365179,0.41733534204496686,0.5965709145838799,0.4203817451272417,0.6002943295743004,0.04578299065023256,0.8365300938594087,0.8383,20000
collar10,mugla_2021,downscaled_lst_mean,0.3141817064268252,0.2551901433295425,0.3783901776573895,0.25298502098138653,0.37820986435322707,0.031822417300921405,5.244381911638378e-09,5e-05,20000
collar10,mugla_2021,fused_lst_mean,0.3323259293398547,0.2758680135564123,0.39311734092276973,0.2738034794589406,0.3942387400825864,0.030554008252120485,4.069867368876698e-08,5e-05,20000
collar10,evia_2021_extended,ndvi_mean,0.663382936090296,0.5618851950810133,0.7515147488415748,0.566942294511654,0.7544310429312647,0.04760878234900008,0.0005996305719298384,0.0005,20000
collar10,evia_2021_extended,elevation_mean,0.647769410765906,0.5503386882705409,0.7397841318981809,0.5446189712881496,0.7432223642158036,0.05092672243032053,0.003712521885456419,0.0055,20000
collar10,evia_2021_extended,slope_mean,0.6031460052342063,0.5069369258689678,0.6873658622886143,0.5081351519891928,0.6897450028930809,0.04627720532098734,0.025822367878861458,0.0326,20000
collar10,evia_2021_extended,lst_anomaly_mean,0.5837584538337627,0.49655987584758227,0.6685166545000762,0.49750584504812695,0.6677567291832355,0.04358888217983927,0.05466171963290435,0.0567,20000
collar10,evia_2021_extended,current_lst_mean,0.2856660359279603,0.20337315808443673,0.3745336572778164,0.19777599260268544,0.3814922321319168,0.046744080243459954,4.534124311403514e-06,5e-05,20000
collar10,evia_2021_extended,current_tvdi_mean,0.25032052244717196,0.16833354474462095,0.336071581313099,0.16737253462779664,0.34194868864918804,0.0444457153995394,1.9359719543137126e-08,5e-05,20000
collar10,evia_2021_extended,tvdi_difference_mean,0.48859841143362615,0.4168165973230743,0.5662423160241732,0.41481316615063585,0.563340804169796,0.03774034076304517,0.7625711540632921,0.7723,20000
collar10,evia_2021_extended,downscaled_lst_mean,0.2852294553626902,0.1896725908567284,0.384030440097813,0.19135568533616887,0.38796428264264793,0.050159614583381425,1.8543564058902083e-05,5e-05,20000
collar10,evia_2021_extended,fused_lst_mean,0.284711112982141,0.2030313052457519,0.3745418581593291,0.19673419147489818,0.38052730429896137,0.04682692410829909,4.274984804212237e-06,5e-05,20000
collar10,montiferru_2021,ndvi_mean,0.5817467660844683,0.44575652441491026,0.6991649726146167,0.44526376433219,0.7056307463170334,0.06615647327652405,0.21658576828099418,0.2413,20000
collar10,montiferru_2021,elevation_mean,0.5811567066601115,0.39136406416282454,0.7589562826202371,0.3924783364750599,0.7543705630813548,0.09201449789782393,0.37777728028912594,0.3871,20000
collar10,montiferru_2021,slope_mean,0.6505640511644759,0.5016300739792015,0.7705147720523136,0.5089536550315995,0.7718319109002754,0.06666612490635321,0.02391580484906548,0.0378,20000
collar10,montiferru_2021,lst_anomaly_mean,0.4001135424581277,0.2907613444270136,0.5396910749987388,0.28673909813712223,0.5336565756529653,0.06285067238153516,0.11200027652228081,0.1307,20000
collar10,montiferru_2021,current_lst_mean,0.3763437997164291,0.25130941294993575,0.5198425017398888,0.2503739759713699,0.5188559959240856,0.06843029263441912,0.07075621516241351,0.0878,20000
collar10,montiferru_2021,current_tvdi_mean,0.36108879039244424,0.23587814552884007,0.5097937835668815,0.23713332671587012,0.5039924858746481,0.06806034442953475,0.041250759001287066,0.0562,20000
collar10,montiferru_2021,tvdi_difference_mean,0.38424897940164837,0.28798070524767616,0.5037284979410863,0.28680128923320936,0.504640893777711,0.05554584084685214,0.03717083212290091,0.0584,20000
collar10,montiferru_2021,downscaled_lst_mean,0.3709528029692217,0.245437629895661,0.5164990154314982,0.2449677051738191,0.5146272955757843,0.06893812294640823,0.0612165764355747,0.0784,20000
collar10,montiferru_2021,fused_lst_mean,0.3763523581931724,0.25125226704880854,0.519846110219683,0.250358032237133,0.5188575018877015,0.06843597637342151,0.07079912189225576,0.0878,20000
full,manavgat_2021,ndvi_mean,0.6359169371099176,0.5873126830663483,0.6777109347534501,0.587118398491591,0.678103382953944,0.02315781735035246,4.3800838030918055e-09,0.0001,20000
full,manavgat_2021,elevation_mean,0.37410755666893913,0.289502967695546,0.4718852479347014,0.28748895883974407,0.4773302701534651,0.04839477950807907,0.00928538391669877,0.0191,20000
full,manavgat_2021,slope_mean,0.5309574867864721,0.4256125335551447,0.6476179187320887,0.42249079446993826,0.6479139311099724,0.05746881480286023,0.5901054470465394,0.5891,20000
full,manavgat_2021,lst_anomaly_mean,0.4823529005017941,0.42441113561563604,0.5330010353218775,0.42754514588383014,0.5318056776580706,0.026825454135490576,0.5106351330056074,0.4875,20000
full,manavgat_2021,current_lst_mean,0.5382779853437281,0.44994774167789287,0.6194505699396435,0.4471202125982324,0.618320407931387,0.04403022234616785,0.38465185340311225,0.3961,20000
full,manavgat_2021,current_tvdi_mean,0.5520208992479892,0.4558820860165152,0.636359319375528,0.4521664413306802,0.6377450152598089,0.0476303774454055,0.27475441951611324,0.2858,20000
full,manavgat_2021,tvdi_difference_mean,0.44939202798988004,0.38462687813567387,0.5070497439085612,0.3878096754434893,0.5094809578889112,0.031019129585116424,0.10278307845742254,0.0974,20000
full,manavgat_2021,downscaled_lst_mean,0.5520694210669516,0.45972519941137086,0.6352968486533107,0.4575296636283811,0.6344875989353824,0.04556834224315449,0.2531770570934081,0.2661,20000
full,manavgat_2021,fused_lst_mean,0.5400826188182982,0.4518752771819696,0.6211281487530852,0.4489679606407079,0.6198413062166879,0.043968858530896916,0.3619720479307281,0.3726,20000
full,bejis_2022,ndvi_mean,0.5587527905026131,0.4988825382292888,0.6183894783924991,0.4928266847212337,0.6209294914417061,0.032710702455439625,0.072473277942501,0.0797,20000
full,bejis_2022,elevation_mean,0.6432824053164721,0.5587377214753149,0.7268527799170467,0.5601496762228473,0.7256505136037317,0.04230948682457986,0.000707821779001803,0.0011,20000
full,bejis_2022,slope_mean,0.5207878895412608,0.4424489022842456,0.614582664079929,0.43698716338444854,0.6087310333251187,0.04389363278464384,0.6357873682404442,0.6258,20000
full,bejis_2022,lst_anomaly_mean,0.4179915266529903,0.3650300259221785,0.4805140101937346,0.3613411082595958,0.4760261151087862,0.029076256133712296,0.004795456397288055,0.005,20000
full,bejis_2022,current_lst_mean,0.47674775069349284,0.4046243152485911,0.5397151357215858,0.4042320442836467,0.5435980732608434,0.03521903764278057,0.5091138205057799,0.5151,20000
full,bejis_2022,current_tvdi_mean,0.5172782323463783,0.4290661959964498,0.5983592473084964,0.43202099241039427,0.5945817931569078,0.041149084177065316,0.67456326757995,0.6439,20000
full,bejis_2022,tvdi_difference_mean,0.5124941631737097,0.44593921263931996,0.5814543805922971,0.4426901505889039,0.5795709785805567,0.03503245304177111,0.7213572864475603,0.6847,20000
full,bejis_2022,downscaled_lst_mean,0.4836430737466933,0.40529954988027067,0.5526879769554394,0.40342411524641586,0.5572602068247656,0.038835808426676464,0.6736225108343707,0.6802,20000
full,bejis_2022,fused_lst_mean,0.4806129105103555,0.4072701994916286,0.5444239190329637,0.40677478549658186,0.5488454544300068,0.03590345614185498,0.5892119538630594,0.5943,20000
full,mugla_2021,ndvi_mean,0.6616527794184797,0.6151334266014162,0.703257405819543,0.61660850308862,0.7029624323571597,0.0217796252413868,1.1518889478408717e-13,5e-05,20000
full,mugla_2021,elevation_mean,0.6114025048859928,0.5293535718404065,0.691927555113755,0.5290655452693255,0.6930513188948753,0.041798118541123266,0.007693072807660988,0.0077,20000
full,mugla_2021,slope_mean,0.6368180084143384,0.5844444276707379,0.6891178842869342,0.5843330000475455,0.6885594473967411,0.026595385917470668,2.6833926644623354e-07,5e-05,20000
full,mugla_2021,lst_anomaly_mean,0.4845735569026068,0.39560774187162223,0.5704077484920387,0.3971242102099037,0.5733812656928785,0.0450593467786487,0.7320812372373261,0.7352,20000
full,mugla_2021,current_lst_mean,0.324818209196232,0.271196081495244,0.3859893758386878,0.2699799748084518,0.383172384258969,0.02890053221131913,1.3482264230260434e-09,5e-05,20000
full,mugla_2021,current_tvdi_mean,0.3357699119089857,0.2706950899545906,0.40264431844002924,0.27285108236146866,0.40224548090995577,0.032957727970957425,6.258896639317565e-07,5e-05,20000
full,mugla_2021,tvdi_difference_mean,0.49002459954410754,0.40048827639280404,0.5890794192083837,0.4011194601494917,0.5821661705681777,0.04590420489779523,0.8279674826873811,0.8225,20000
full,mugla_2021,downscaled_lst_mean,0.30697725296436723,0.25137394721562833,0.37032740204756714,0.2503514559245544,0.3673770700147579,0.0299422849752925,1.1446748355351201e-10,5e-05,20000
full,mugla_2021,fused_lst_mean,0.32521434622074175,0.2714207058045128,0.38705992760227603,0.2703524408104706,0.3836972460828545,0.02897478181924931,1.6160513502479516e-09,5e-05,20000
full,evia_2021_extended,ndvi_mean,0.6391494562092995,0.5767341996040618,0.7021960140116192,0.5730332130690774,0.7026173830423454,0.033186876521282396,2.7540348995625067e-05,5e-05,20000
full,evia_2021_extended,elevation_mean,0.540559580910425,0.4490914243026338,0.6310989245867527,0.45111040887714543,0.6287950447859204,0.04538791517470876,0.3715248626465354,0.3682,20000
full,evia_2021_extended,slope_mean,0.486543098344048,0.41675053009192176,0.5566848665700901,0.4193526532052708,0.5542365192050585,0.03447329291388232,0.6962723555363485,0.7011,20000
full,evia_2021_extended,lst_anomaly_mean,0.6400549435604515,0.5655223617566586,0.7095158292221176,0.5658740198588998,0.7121211546465046,0.03737652220438452,0.00017886451657516544,0.0004,20000
full,evia_2021_extended,current_lst_mean,0.37651907667348405,0.30041578768866634,0.4528116706480587,0.3017864725374052,0.4525224806432321,0.0387694578518845,0.0014475142696399074,0.0023,20000
full,evia_2021_extended,current_tvdi_mean,0.36188826587369816,0.2854949513258123,0.4419103470834404,0.2857172263122976,0.4395505070456118,0.03945480803659337,0.00046437835195595054,0.0007,20000
full,evia_2021_extended,tvdi_difference_mean,0.5191031776643451,0.44054273268960714,0.5906347815514483,0.4473953695310703,0.5899957151148411,0.03597228260926353,0.5953822629817445,0.5869,20000
