direction,model_family,adaptation_method,metric,raw_gap_mean,adaptation_effect_mean,remaining_gap_mean,recovered_fraction_ci_low,recovered_fraction_ci_high,remaining_fraction_ci_low,remaining_fraction_ci_high,n_replicates,n_replicates_ratio_degenerate
evia_2021_extended_to_mugla_2021,baseline,regionwise_zscore,roc_auc,0.2312704700174086,-0.022023981983566917,0.2532944520009755,-0.19632453835198216,-0.008192431407475474,1.0081924314074755,1.196324538351982,1000,0
evia_2021_extended_to_mugla_2021,baseline,coral_after_regionwise_zscore,roc_auc,0.2312704700174086,-0.014660423327431147,0.24593089334483975,-0.15834704245701015,0.01765797544977476,0.9823420245502252,1.1583470424570101,1000,0
evia_2021_extended_to_mugla_2021,baseline,regionwise_zscore,pr_auc,0.14329969492605193,-0.01427582499129399,0.15757551991734592,-0.1602374671946631,-0.050838504559961646,1.0508385045599615,1.1602374671946631,1000,0
evia_2021_extended_to_mugla_2021,baseline,coral_after_regionwise_zscore,pr_auc,0.14329969492605193,-0.012256947514114706,0.15555664244016662,-0.14406683130310902,-0.03953053822806728,1.0395305382280673,1.144066831303109,1000,0
evia_2021_extended_to_mugla_2021,thermal,regionwise_zscore,roc_auc,0.2825521080143055,-0.07534746974487586,0.3578995777591814,-0.3276326472073112,-0.20692297619059155,1.2069229761905915,1.3276326472073112,1000,0
evia_2021_extended_to_mugla_2021,thermal,coral_after_regionwise_zscore,roc_auc,0.2825521080143055,-0.046312311413493505,0.32886441942779904,-0.22221817307081668,-0.1094988676637642,1.1094988676637643,1.2222181730708166,1000,0
evia_2021_extended_to_mugla_2021,thermal,regionwise_zscore,pr_auc,0.36074472418630943,-0.019069181808777577,0.379813905995087,-0.06834605606983427,-0.03842103438642374,1.038421034386424,1.0683460560698341,1000,0
evia_2021_extended_to_mugla_2021,thermal,coral_after_regionwise_zscore,pr_auc,0.36074472418630943,-0.013828995194321084,0.3745737193806305,-0.05437171198260413,-0.02437810545121068,1.0243781054512104,1.054371711982604,1000,0
manavgat_2021_to_bejis_2022,baseline,regionwise_zscore,roc_auc,0.491301581364929,0.014092754277275162,0.47720882708765383,-0.0007280214862828182,0.05742721479403729,0.9425727852059628,1.0007280214862828,1000,0
manavgat_2021_to_bejis_2022,baseline,coral_after_regionwise_zscore,roc_auc,0.491301581364929,0.014419410440507032,0.47688217092442203,-0.0065666299178789,0.0638857589612097,0.9361142410387904,1.0065666299178788,1000,0
manavgat_2021_to_bejis_2022,baseline,regionwise_zscore,pr_auc,0.25278193101055435,0.0012166097728225766,0.2515653212377318,-0.00015422261898554793,0.010315503005235323,0.9896844969947647,1.0001542226189855,1000,0
manavgat_2021_to_bejis_2022,baseline,coral_after_regionwise_zscore,pr_auc,0.25278193101055435,0.0012784757079766448,0.25150345530257767,-0.0007788492090550054,0.011222102447245747,0.9887778975527542,1.000778849209055,1000,0
manavgat_2021_to_bejis_2022,thermal,regionwise_zscore,roc_auc,0.5216476304602115,0.0534605582974144,0.4681870721627969,0.06527978592547926,0.1391149291581398,0.8608850708418601,0.9347202140745208,1000,0
manavgat_2021_to_bejis_2022,thermal,coral_after_regionwise_zscore,roc_auc,0.5216476304602115,0.07028683092296462,0.4513607995372467,0.09250254748865006,0.1722662145316447,0.8277337854683553,0.90749745251135,1000,0
