feature,a,b,auc_a,auc_b,point_reversal,strict_supported,pair_dir,pair_reversal_status,auc_difference_bejis_minus_manavgat,auc_difference_ci_low,auc_difference_ci_high,auc_difference_target_minus_source
downscaled_lst_mean,mugla_2021,montiferru_2021,0.3069772529643672,0.364736376795746,False,False,montiferru_2021__mugla_2021,no_direction_reversal,,-0.2119597058722643,0.0799338687782903,-0.0597778419765084
downscaled_lst_mean,evia_2021_extended,montiferru_2021,0.3765491129362415,0.364736376795746,False,False,montiferru_2021__evia_2021_extended,no_direction_reversal,,-0.1517490425709838,0.167254585977753,0.0103562704006856
fused_lst_mean,manavgat_2021,bejis_2022,0.6662317904467838,0.4806129105103555,True,False,manavgat_2021__bejis_2022,point_direction_reversal_interval_uncertain,-0.186610966872689,-0.2811145547877997,-0.0952061986825175,
fused_lst_mean,manavgat_2021,mugla_2021,0.6662317904467838,0.3252143462207417,True,True,manavgat_2021__mugla_2021,bootstrap_supported_direction_reversal,,-0.4163151910181664,-0.260180051036683,-0.3403430752371962
fused_lst_mean,manavgat_2021,evia_2021_extended,0.6662317904467838,0.3756612638414718,True,True,manavgat_2021__evia_2021_extended,bootstrap_supported_direction_reversal,,-0.3850429747994233,-0.1957365109213196,-0.2893312256116395
fused_lst_mean,manavgat_2021,montiferru_2021,0.6662317904467838,0.3704727050647962,True,False,montiferru_2021__manavgat_2021,point_direction_reversal_interval_uncertain,,0.1356828084625291,0.4432987203441373,0.2930918798319527
fused_lst_mean,bejis_2022,mugla_2021,0.4806129105103555,0.3252143462207417,False,False,bejis_2022__mugla_2021,no_direction_reversal,,-0.2480174978410034,-0.0653349150292475,-0.1537321083645071
fused_lst_mean,bejis_2022,evia_2021_extended,0.4806129105103555,0.3756612638414718,False,False,bejis_2022__evia_2021_extended,no_direction_reversal,,-0.2019451402104738,0.0050257742930315,-0.1027202587389504
fused_lst_mean,bejis_2022,montiferru_2021,0.4806129105103555,0.3704727050647962,False,False,montiferru_2021__bejis_2022,no_direction_reversal,,-0.047190418929375,0.2607604556909454,0.1064809129592636
fused_lst_mean,mugla_2021,evia_2021_extended,0.3252143462207417,0.3756612638414718,False,False,mugla_2021__evia_2021_extended,no_direction_reversal,,-0.0457821770095321,0.1530514540647239,0.0510118496255567
fused_lst_mean,mugla_2021,montiferru_2021,0.3252143462207417,0.3704727050647962,False,False,montiferru_2021__mugla_2021,no_direction_reversal,,-0.1968613802526819,0.0927107455048988,-0.0472511954052435
fused_lst_mean,evia_2021_extended,montiferru_2021,0.3756612638414718,0.3704727050647962,False,False,montiferru_2021__evia_2021_extended,no_direction_reversal,,-0.1579605594110204,0.1560937458660937,0.0037606542203132
