frame,feature,region_a,region_b,auc_a,auc_b,diff,diff_lo_1000,diff_hi_1000,diff_lo,diff_hi,opposite_sides,p_norm,p_pct,p_iut_norm,p_iut_pct,strict_supported_1000,p_norm_holm,p_pct_holm,p_iut_norm_holm,p_iut_pct_holm,p_norm_bh,p_pct_bh,diff_excl0_1000
full,ndvi_mean,bejis_2022,mugla_2021,0.5587527905026131,0.6616527794184797,-0.1028999889158666,-0.1774924874352258,-0.02511843832075029,-0.17975707970856772,-0.027279287131596126,False,0.008465146876142778,0.009,1.0,1.0,False,0.49097851881628113,0.5309999999999999,1.0,1.0,0.023086764207662123,0.02509090909090909,True
full,ndvi_mean,bejis_2022,evia_2021_extended,0.5587527905026131,0.6391494562092995,-0.08039666570668647,-0.16657198822763003,0.0034557648039229083,-0.17242670868085438,0.011165283448431053,False,0.08510837384128006,0.0835,1.0,1.0,False,1.0,1.0,1.0,1.0,0.16651638360250445,0.16336956521739132,False
full,ndvi_mean,bejis_2022,montiferru_2021,0.5587527905026131,0.5862731853113042,-0.027520394808691173,-0.16720521828069704,0.12021543184758837,-0.16558145297856622,0.12150411186236196,False,0.7088784410092126,0.7314,1.0,1.0,False,1.0,1.0,1.0,1.0,0.8075830340611283,0.824175,False
full,ndvi_mean,mugla_2021,evia_2021_extended,0.6616527794184797,0.6391494562092995,0.022503323209180137,-0.05945223513876589,0.0998608771417714,-0.05465465703437654,0.10074003077607654,False,0.5697588793766278,0.5761,1.0,1.0,False,1.0,1.0,1.0,1.0,0.7179540921894234,0.7201249999999999,False
full,ndvi_mean,mugla_2021,montiferru_2021,0.6616527794184797,0.5862731853113042,0.07537959410717543,-0.05659160917450762,0.21533462203118617,-0.054922002421270724,0.2156556271641019,False,0.275631508050022,0.2571,1.0,1.0,False,1.0,1.0,1.0,1.0,0.40011025362099967,0.37582258064516133,False
full,ndvi_mean,evia_2021_extended,montiferru_2021,0.6391494562092995,0.5862731853113042,0.05287627089799529,-0.08365741268731379,0.20216911611981966,-0.08727912570333067,0.20206266718627724,False,0.47290039419034546,0.4486,1.0,1.0,False,1.0,1.0,1.0,1.0,0.6448641738959257,0.6117272727272728,False
full,elevation_mean,manavgat_2021,bejis_2022,0.232040982011245,0.6432824053164721,-0.41124142330522706,-0.5091246613370345,-0.3123326047996745,-0.5092233610684954,-0.3109800084526742,True,4.843893316807055e-16,5e-05,0.000707821779001803,0.0011,True,4.214187185622138e-14,0.0045000000000000005,0.060164851215153255,0.0935,1.0898759962815874e-14,0.00025,True
full,elevation_mean,manavgat_2021,mugla_2021,0.232040982011245,0.6114025048859928,-0.3793615228747478,-0.4760614111574176,-0.2742303446194542,-0.47706498883647763,-0.2796808386669217,True,4.521296453902694e-14,5e-05,0.007693072807660988,0.0077,True,3.84310198581729e-12,0.0045000000000000005,0.607752751805218,0.6083000000000001,6.78194468085404e-13,0.00025,True
full,elevation_mean,manavgat_2021,evia_2021_extended,0.232040982011245,0.540559580910425,-0.30851859889918,-0.4171253185777719,-0.19908419134895816,-0.4122794921228974,-0.20295208182016547,True,7.99251730507048e-09,5e-05,0.3715248626465354,0.3682,False,6.31408867100568e-07,0.0045000000000000005,1.0,1.0,5.99438797880286e-08,0.00025,True
full,elevation_mean,manavgat_2021,montiferru_2021,0.232040982011245,0.5837706290859124,-0.35172964707466736,-0.5346700430876097,-0.15040473844187727,-0.5325155348235115,-0.15641179846837938,True,0.00023988811750253042,0.0005,0.3599407641051099,0.3688,False,0.01679216822517713,0.0345,1.0,1.0,0.0010280919321537017,0.002045454545454545,True
