source_frame,target_frame,direction,thermal,baseline,delta
5km,5km,manavgat_2021_to_mugla_2021,0.4883883261401156,0.5079513919604074,-0.01956306582029177
5km,5km,manavgat_2021_to_evia_2021_extended,0.6943485456259177,0.7060462226216484,-0.011697676995730655
5km,5km,manavgat_2021_to_montiferru_2021,0.6008409209445601,0.5741403808769254,0.02670054006763467
5km,5km,bejis_2022_to_manavgat_2021,0.4525931334108506,0.4056709601627262,0.04692217324812442
5km,5km,bejis_2022_to_mugla_2021,0.6406072046871364,0.6176131612638228,0.02299404342331357
5km,5km,bejis_2022_to_evia_2021_extended,0.59271954436188,0.6252061063496587,-0.03248656198777866
5km,5km,bejis_2022_to_montiferru_2021,0.6216987581962261,0.5361651068281619,0.08553365136806423
5km,5km,mugla_2021_to_manavgat_2021,0.4710541449212659,0.5200135805473681,-0.04895943562610222
5km,5km,mugla_2021_to_bejis_2022,0.5353287532052833,0.4816176399438773,0.053711113261405985
5km,5km,mugla_2021_to_evia_2021_extended,0.7351481651968269,0.7090432890311235,0.02610487616570345
5km,5km,mugla_2021_to_montiferru_2021,0.5067779941175301,0.5204525188626001,-0.013674524745070027
5km,5km,evia_2021_extended_to_manavgat_2021,0.6106767138680824,0.6481047024147535,-0.037427988546671065
5km,5km,evia_2021_extended_to_bejis_2022,0.5816212685664521,0.5450534617059365,0.03656780686051564
5km,5km,evia_2021_extended_to_mugla_2021,0.6246354973720954,0.5930809041753452,0.03155459319675025
5km,5km,evia_2021_extended_to_montiferru_2021,0.6776648154577727,0.5913633534055157,0.08630146205225697
5km,5km,montiferru_2021_to_manavgat_2021,0.48660303038497243,0.47217339835170613,0.014429632033266304
5km,5km,montiferru_2021_to_bejis_2022,0.6288272291838019,0.6482522134597707,-0.019424984275968837
5km,5km,montiferru_2021_to_mugla_2021,0.6069494190695306,0.6188805590858435,-0.011931140016312902
5km,5km,montiferru_2021_to_evia_2021_extended,0.7457643166280636,0.6743056925538677,0.0714586240741959
