block,direction,source_region,target_region,metric,value,ci_low,ci_high,source_file,source_column
aoa,mugla_2021_to_bejis_2022,mugla_2021,bejis_2022,unweighted_fraction_target_cells_inside_support,0.9075707702435812,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",unweighted_fraction_target_cells_inside_support
aoa,mugla_2021_to_bejis_2022,mugla_2021,bejis_2022,target_mean_dissimilarity,0.4663418199185415,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",target_mean_dissimilarity
aoa,mugla_2021_to_bejis_2022,mugla_2021,bejis_2022,target_p95_dissimilarity,0.8549570643567039,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",target_p95_dissimilarity
aoa,mugla_2021_to_bejis_2022,mugla_2021,bejis_2022,raw_thermal_roc_auc,0.5831912381443964,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",raw_thermal_roc_auc
aoa,mugla_2021_to_bejis_2022,mugla_2021,bejis_2022,raw_thermal_pr_auc,0.0882719168819328,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",raw_thermal_pr_auc
aoa,mugla_2021_to_evia_2021_extended,mugla_2021,evia_2021_extended,fraction_inside_weighted_aoa,0.5809851580985158,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",fraction_inside_weighted_aoa
aoa,mugla_2021_to_evia_2021_extended,mugla_2021,evia_2021_extended,unweighted_fraction_target_cells_inside_support,0.9509571950957196,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",unweighted_fraction_target_cells_inside_support
aoa,mugla_2021_to_evia_2021_extended,mugla_2021,evia_2021_extended,target_mean_dissimilarity,0.2012591791587566,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",target_mean_dissimilarity
aoa,mugla_2021_to_evia_2021_extended,mugla_2021,evia_2021_extended,target_p95_dissimilarity,0.4325624797191889,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",target_p95_dissimilarity
aoa,mugla_2021_to_evia_2021_extended,mugla_2021,evia_2021_extended,raw_thermal_roc_auc,0.6534051763551312,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",raw_thermal_roc_auc
aoa,mugla_2021_to_evia_2021_extended,mugla_2021,evia_2021_extended,raw_thermal_pr_auc,0.3787524641133996,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",raw_thermal_pr_auc
aoa,evia_2021_extended_to_manavgat_2021,evia_2021_extended,manavgat_2021,fraction_inside_weighted_aoa,0.4067136949647287,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",fraction_inside_weighted_aoa
aoa,evia_2021_extended_to_manavgat_2021,evia_2021_extended,manavgat_2021,unweighted_fraction_target_cells_inside_support,0.8994891753831185,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",unweighted_fraction_target_cells_inside_support
aoa,evia_2021_extended_to_manavgat_2021,evia_2021_extended,manavgat_2021,target_mean_dissimilarity,0.3494944693248878,,,"drive_new/diagnostics/marginal_aoa_completion/4f3ac830327d7ec6f581abbb5161686710894a68db9d2a59b9b4948d166d033f/comparison/marginal_diagnostics_with_transfer.csv",target_mean_dissimilarity
