arm,region,feature,auc,ci_low,ci_high,n_burned,burned_median,unburned_median,source_pair,side,supported
corrected,mugla_2021,slope_mean,0.6368180084143384,0.5819257681498503,0.68641744780742,2911,19.04078865051269,15.425108909606934,manavgat_2021__mugla_2021,+,True
corrected,mugla_2021,lst_anomaly_mean,0.4845735569026068,0.3945167019229775,0.5660732073894761,2853,-0.2372840195894241,-0.1661216393113136,manavgat_2021__mugla_2021,-,False
corrected,mugla_2021,current_lst_mean,0.324818209196232,0.2713831954453114,0.3821312123411832,2911,35.763214111328125,38.2821102142334,manavgat_2021__mugla_2021,-,True
corrected,mugla_2021,current_tvdi_mean,0.3357699119089857,0.2753568541074757,0.3975750036935558,2911,0.6014605164527893,0.694197416305542,manavgat_2021__mugla_2021,-,True
corrected,mugla_2021,tvdi_difference_mean,0.4900245995441075,0.3964138391440796,0.5747477756769651,2911,-0.0312790647149086,-0.0225907824933528,manavgat_2021__mugla_2021,-,False
corrected,mugla_2021,downscaled_lst_mean,0.3069772529643672,0.2532048192658658,0.3658370610145918,2911,36.00063705444336,38.29333114624024,manavgat_2021__mugla_2021,-,True
corrected,mugla_2021,fused_lst_mean,0.3252143462207417,0.2720012810467721,0.3827633213333897,2911,35.763214111328125,38.262325286865234,manavgat_2021__mugla_2021,-,True
corrected,evia_2021_extended,ndvi_mean,0.6391494562092995,0.5749285449525442,0.7006046421340476,2664,0.6234641373157501,0.559615820646286,manavgat_2021__evia_2021_extended,+,True
corrected,evia_2021_extended,elevation_mean,0.540559580910425,0.4483537317612215,0.626146085073554,2664,262.8730926513672,228.12908172607425,manavgat_2021__evia_2021_extended,+,False
corrected,evia_2021_extended,slope_mean,0.486543098344048,0.4176929735777913,0.554042450008236,2664,15.05971908569336,15.663115501403809,manavgat_2021__evia_2021_extended,-,False
corrected,evia_2021_extended,lst_anomaly_mean,0.6400549435604515,0.5671047052827075,0.710175869871198,2565,0.5270716547966003,0.1159752048552036,manavgat_2021__evia_2021_extended,+,True
corrected,evia_2021_extended,current_lst_mean,0.376519076673484,0.3012790089007279,0.4558582088724633,2649,34.17230987548828,36.12302589416504,manavgat_2021__evia_2021_extended,-,True
corrected,evia_2021_extended,current_tvdi_mean,0.3618882658736981,0.2852365355103699,0.4421714283463526,2649,0.4897002577781677,0.6088389158248901,manavgat_2021__evia_2021_extended,-,True
corrected,evia_2021_extended,tvdi_difference_mean,0.5191031776643451,0.4444187250619392,0.5889301019447588,2649,-0.0025020684115588,-0.0065445306245237,manavgat_2021__evia_2021_extended,+,False
corrected,evia_2021_extended,downscaled_lst_mean,0.3765491129362415,0.2968591404821376,0.4593307010841324,2657,34.2847785949707,35.9800910949707,manavgat_2021__evia_2021_extended,-,True
corrected,evia_2021_extended,fused_lst_mean,0.3756612638414718,0.3001519143454907,0.4556221037116367,2664,34.21380615234375,36.12302589416504,manavgat_2021__evia_2021_extended,-,True
corrected,montiferru_2021,ndvi_mean,0.5862731853113042,0.4501438316160231,0.7043832813462082,539,0.6181037425994873,0.5644292831420898,montiferru_2021__manavgat_2021,+,False
corrected,montiferru_2021,elevation_mean,0.5837706290859124,0.3953155499799928,0.7623088314675833,539,424.2523193359375,356.18487548828125,montiferru_2021__manavgat_2021,+,False
corrected,montiferru_2021,slope_mean,0.6519721105399766,0.5059965620455151,0.7705472817222545,539,9.148451805114746,5.886207580566406,montiferru_2021__manavgat_2021,+,True
corrected,montiferru_2021,lst_anomaly_mean,0.395190132275989,0.285145350453144,0.5345227829044743,539,-0.6554248332977295,-0.4291751980781555,montiferru_2021__manavgat_2021,-,False
corrected,montiferru_2021,current_lst_mean,0.3704643770906685,0.2478268478286555,0.5129602234841384,539,34.42359161376953,37.1414680480957,montiferru_2021__manavgat_2021,-,False
corrected,montiferru_2021,current_tvdi_mean,0.3555286181577596,0.2331671304845549,0.4990539748344443,539,0.5883014798164368,0.7063643932342529,montiferru_2021__manavgat_2021,-,True
corrected,montiferru_2021,tvdi_difference_mean,0.3776218081882492,0.2821229847499818,0.4965114911278295,539,-0.1514346748590469,-0.1128114238381385,montiferru_2021__manavgat_2021,-,True
corrected,montiferru_2021,downscaled_lst_mean,0.364736376795746,0.2402589964942549,0.5110558445055425,539,34.57616424560547,37.30255508422852,montiferru_2021__manavgat_2021,-,False
corrected,montiferru_2021,fused_lst_mean,0.3704727050647962,0.247836825343333,0.5130079558295708,539,34.42359161376953,37.1414680480957,montiferru_2021__manavgat_2021,-,False
