source_frame,target_frame,direction,thermal,thermal_ci_lo,thermal_ci_hi,ci_above_0.5,ci_below_0.5,baseline,delta
5km,5km,manavgat_2021_to_bejis_2022,0.4591359040108375,0.37183990476122963,0.5498141745647068,False,False,0.49172069282500364,-0.032584788814166155
5km,5km,manavgat_2021_to_mugla_2021,0.5436642023779866,0.49086766541823607,0.6021074823877619,False,False,0.567180722220633,-0.023516519842646355
5km,5km,manavgat_2021_to_evia_2021_extended,0.699777636517296,0.615308003712301,0.7780938048976315,True,False,0.6805515978265371,0.019226038690758895
5km,5km,manavgat_2021_to_montiferru_2021,0.609829812161693,0.5178939932881681,0.7154622924228194,True,False,0.6153643200516361,-0.005534507889943141
5km,5km,bejis_2022_to_manavgat_2021,0.5672450665573805,0.45453536321541077,0.6927669426341041,False,False,0.5304284080180115,0.036816658539368996
5km,5km,bejis_2022_to_mugla_2021,0.6406072046871364,0.5794044012971569,0.6962755960563544,True,False,0.6176131612638228,0.02299404342331357
5km,5km,bejis_2022_to_evia_2021_extended,0.59271954436188,0.4837967383505333,0.6974254891020438,False,False,0.6252061063496587,-0.03248656198777866
5km,5km,bejis_2022_to_montiferru_2021,0.6216987581962261,0.46176509347658795,0.7545724913826151,False,False,0.5361651068281619,0.08553365136806423
5km,5km,mugla_2021_to_manavgat_2021,0.5169878894618345,0.44896983613077035,0.5944764700352795,False,False,0.603889236172354,-0.08690134671051952
5km,5km,mugla_2021_to_bejis_2022,0.5353287532052833,0.464875146941756,0.603596975185149,False,False,0.4816176399438773,0.053711113261405985
5km,5km,mugla_2021_to_evia_2021_extended,0.7351481651968269,0.6441543006505351,0.8170201334219936,True,False,0.7090432890311235,0.02610487616570345
5km,5km,mugla_2021_to_montiferru_2021,0.5067779941175301,0.35037159588230093,0.6539346526573135,False,False,0.5204525188626001,-0.013674524745070027
5km,5km,evia_2021_extended_to_manavgat_2021,0.6516667228660656,0.5484196502061679,0.7312764644507794,True,False,0.6346580828569354,0.01700864000913027
5km,5km,evia_2021_extended_to_bejis_2022,0.5816212685664521,0.5035914509989482,0.6557903387182948,True,False,0.5450534617059365,0.03656780686051564
5km,5km,evia_2021_extended_to_mugla_2021,0.6246354973720954,0.5713848239172613,0.6829810782860006,True,False,0.5930808787704818,0.03155461860161368
5km,5km,evia_2021_extended_to_montiferru_2021,0.6776648154577727,0.5465827826212508,0.7945980838199815,True,False,0.5913633534055157,0.08630146205225697
5km,5km,montiferru_2021_to_manavgat_2021,0.6039926646815309,0.5076616298117262,0.7043988623111643,True,False,0.5882290575101419,0.015763607171389027
